1.1.1900: День общественного достояния|День благодарности яблоням
2.1.1900: День научной фантастики|День принятия решений
3.1.1900: День соломинки для питья|День сна на работе
4.1.1900: День Ньютона|Всемирный день гипноза
5.1.1900: День птиц|День взбитых сливок
6.1.1900: День бобов|День объятий
7.1.1900: День коротких писем|День памяти о кошке
8.1.1900: День пузырчатой пленки|День типографии
9.1.1900: День стационарного офиса|День благодарности
10.1.1900: День спичек|День печенья с шоколадной крошкой
11.1.1900: День благодарения|День молодежи
12.1.1900: День какао|День арахисовых орехов
13.1.1900: День портрета|День рождения
14.1.1900: День путешествия|День сбора податей
15.1.1900: День Википедии|День шляп
16.1.1900: День свободы вероисповедания|День танца
17.1.1900: День истории|День горячей пищи
18.1.1900: День снеговика|День пингвина
19.1.1900: День попкорна|День любителей
20.1.1900: День сыра|День признательности пингвинам
21.1.1900: День объятий|День веры
22.1.1900: День бабушки|День ответа на вопросы
23.1.1900: День рукописного письма|День пирога
24.1.1900: День комплимента|День образования
25.1.1900: День обращения к себе|День свободы
26.1.1900: День Австралии|День информации
27.1.1900: День памяти жертв Холокоста|День шоколадного торта
28.1.1900: День конструктора Лего|День веселья
29.1.1900: День пазла|День мобилизации
30.1.1900: День круассана|День кино
31.1.1900: День ювелира|День волшебства
1.2.1900: День рождения мороженого в рожке|День надежды
2.2.1900: День сурка|День водно-болотных угодий
3.2.1900: День поиска вдохновения|День моркови
4.2.1900: День благодарности домашним роботам|День независимости
5.2.1900: День Нутеллы|День работы с детьми
6.2.1900: День бармена|День саамов
7.2.1900: День балета|День письменности
8.2.1900: День воздушного змея|День науки
9.2.1900: День стоматолога|День пиццы
10.2.1900: День домоводства|День зонтика
11.2.1900: День изобретателя|День брачных агентств
12.2.1900: День Дарвина|День здоровья
13.2.1900: Всемирный день радио|День друзей
14.2.1900: День святого Валентина|День компьютерщика
15.2.1900: День памяти военнослужащих|День чая
16.2.1900: День миндаля|День свежести
17.2.1900: День кота|День спонтанности
18.2.1900: День вина|День рождения
19.2.1900: День китов|День инженера-механика
20.2.1900: День социальной справедливости|День вишни
21.2.1900: Международный день родного языка|День уличного музыканта
22.2.1900: День белого медведя|День единения
23.2.1900: День защиты мужского достоинства|День борща
24.2.1900: День бармена|День компьютерщика
25.2.1900: День рождения|День памяти
26.2.1900: День фисташек|День клейкой ленты
27.2.1900: День полярного медведя|День мороженого
28.2.1900: День осведомленности о редких заболеваниях|День памяти
29.2.1904: День лягушки|День кошек
1.3.1900: Всемирный день гражданской обороны|День комплиментов
2.3.1900: День рождения кунжута|День сбережений
3.3.1900: Всемирный день писателя|День дикой природы
4.3.1900: День объятий|День кошек
5.3.1900: День рождения телефонного аппарата|День вышивки
6.3.1900: День зубного врача|День памяти
7.3.1900: День ромового торта|День каши
8.3.1900: Международный женский день|День красоты
9.3.1900: День ди-джея|День рождения куклы Барби
10.3.1900: День архивов|День любителей
11.3.1900: День сна|День сантехника
12.3.1900: День библиотек|День матерей
13.3.1900: День рождения караоке|День кокосового ореха
14.3.1900: День рек|День числа Пи
15.3.1900: Всемирный день защиты прав потребителей|День работников ЖКХ
16.3.1900: День свободы информации|День спонтанности
17.3.1900: День Святого Патрика|День кошек
18.3.1900: День воссоединения Крыма с Россией|День памяти
19.3.1900: День клиента|День овсянки
20.3.1900: Международный день счастья|День весеннего равноденствия
21.3.1900: Международный день кукольника|День поэзии
22.3.1900: Всемирный день водных ресурсов|День таксиста
23.3.1900: Всемирный метеорологический день|День метеорологии
24.3.1900: Всемирный день борьбы с туберкулезом|День прогулки
25.3.1900: День работников культуры|День независимости
26.3.1900: День рождения кофе|День фисташек
27.3.1900: День театра|День оптимиста
28.3.1900: Час Земли|День суши
29.3.1900: День виолончели|День юмора
30.3.1900: День защиты Земли|День карандаша
31.3.1900: День эмпатии|День трансгендеров
1.4.1900: День смеха|День птиц
2.4.1900: Международный день детской книги|День хомяка
3.4.1900: День рождения штрихкода|День шоколадного мусса
4.4.1900: День веб-мастера|День крысы
5.4.1900: День супа|День информации
6.4.1900: День библиотеки|День спорта
7.4.1900: Всемирный день здоровья|День памяти
8.4.1900: День рисования птиц|День красоты
9.4.1900: День единорога|День науки
10.4.1900: День брата и сестры|День сыроедения
11.4.1900: День освобождения узников фашистских концлагерей|День рок-н-ролла
12.4.1900: День космонавтики|День юриста
13.4.1900: День благодарности растениям|День рок-н-ролла
14.4.1900: День осведомленности о сиротстве|День гамбургера
15.4.1900: День экологических знаний|День специалиста по радиоэлектронной борьбе
16.4.1900: День путешествий|День памяти
17.4.1900: День кофе|День пожарной охраны
18.4.1900: Международный день памятников и исторических мест|День студента
19.4.1900: День подснежника|День путешествий
20.4.1900: День китайского языка|День поиска вдохновения
21.4.1900: День главного бухгалтера|День косметолога
22.4.1900: Международный день Земли|День пирожков
23.4.1900: Всемирный день книги и авторского права|День шопинга
24.4.1900: Международный день солидарности молодежи|День сыра
25.4.1900: День ДНК|День освобождения
26.4.1900: День интеллектуальной собственности|День нотариата
27.4.1900: День нотариуса|День ветеранов
28.4.1900: Всемирный день охраны труда|День работников скорой помощи
29.4.1900: Международный день танца|День памяти
30.4.1900: День пожарной охраны|День фокусника
1.5.1900: Праздник труда|День весны и труда
2.5.1900: День астрономии|День блога
3.5.1900: День солнца|День кондитера
4.5.1900: День работников пищевой промышленности|День “Звездных войн”
5.5.1900: День водолаза|День шиповника
6.5.1900: День моды|День памяти
7.5.1900: День радио|День связиста
8.5.1900: День рождения Coca-Cola|День оперативного работника уголовно-исполнительной системы
9.5.1900: День Победы|День Европы
10.5.1900: День работников таможни|День матери
11.5.1900: День метеоролога|День памяти
12.5.1900: День медицинской сестры|День экологического образования
13.5.1900: День майонеза|День памяти
14.5.1900: День фрилансера|День вафель
15.5.1900: Международный день семьи|День шоколада
16.5.1900: День биографа|День памяти
17.5.1900: День пульмонолога|День рождения интернета
18.5.1900: Международный день музеев|День Балтийского флота
19.5.1900: День пионерии|День памяти
20.5.1900: Всемирный день метрологии|День банковских работников
21.5.1900: День полярника|День работников БТИ
22.5.1900: Международный день биологического разнообразия|День памяти
23.5.1900: День шоколадной помадки|День героев
24.5.1900: День славянской письменности и культуры|День кадровика
25.5.1900: День филолога|День полотенца
26.5.1900: День сварщика|День бумажных самолётиков
27.5.1900: День защиты от солнца|День памяти
28.5.1900: День пограничника|День брюнеток
29.5.1900: День ветеранов таможенной службы|День памяти
30.5.1900: День окрошки|День системного администратора
31.5.1900: Всемирный день блондинок|День памяти
1.6.1900: Международный день защиты детей|День Северного флота
2.6.1900: День работников мелиорации|День мороженого
3.6.1900: День работников молочной промышленности|День велосипеда
4.6.1900: День работников культуры|День признательности
5.6.1900: Всемирный день окружающей среды|День изобретателя
6.6.1900: День русского языка|День рождения йо-йо
7.6.1900: День краудфандинга|День работников сферы услуг
8.6.1900: Всемирный день океанов|День социального работника
9.6.1900: Международный день друзей|День пива
10.6.1900: День мороженого|День памяти
11.6.1900: День пианиста|День памяти
12.6.1900: День России|День работников текстильной и легкой промышленности
13.6.1900: День швейной машинки|День маленьких радостей
14.6.1900: Всемирный день донора крови|День блогера
15.6.1900: День работников ветслужбы|День объятий
16.6.1900: День медицинского работника|День свежих овощей
17.6.1900: День борьбы с опустыниванием и засухой|День космонавтики
18.6.1900: День гордости и радости|День памяти
19.6.1900: День фермера|День памяти
20.6.1900: Всемирный день беженцев|День работников статистики
21.6.1900: Международный день йоги|День селфи
22.6.1900: День памяти и скорби|День шоколадного эклера
23.6.1900: Международный Олимпийский день|День балалайки
24.6.1900: День молодежи|День речного флота
25.6.1900: День клубничного торта|День моряка
26.6.1900: Международный день борьбы с наркоманией и незаконным оборотом наркотиков|День работников прокуратуры
27.6.1900: День микро-, малых и средних предприятий|День молодежи
28.6.1900: День логиста|День поцелуя
29.6.1900: День кораблестроителя|День памяти
30.6.1900: День экономиста|День социальных сетей
1.7.1900: День архитектуры|День работников речного флота
2.7.1900: День работников морского и речного флота|День спортивного журналиста
3.7.1900: День ГАИ|День памяти
4.7.1900: День независимости США|День работников статистики
5.7.1900: День работников мореходства|День памяти
6.7.1900: Всемирный день поцелуя|День юриста
7.7.1900: День загадывания желаний|День шоколада
8.7.1900: День семьи, любви и верности|День работников Сбербанка
9.7.1900: День рыбака|День памяти
10.7.1900: День принятия конституции|День памяти
11.7.1900: Всемирный день народонаселения|День шоколада
12.7.1900: День фотографа|День памяти
13.7.1900: День китов|День памяти
14.7.1900: День взятия Бастилии|День памяти
15.7.1900: День металлурга|День памяти
16.7.1900: День бухгалтера|День памяти
17.7.1900: День этнографа|День работы с документами
18.7.1900: День мороженого|День памяти
